llama__Chart-10__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-10_C1/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java
llama__Chart-10__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-10_C2/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java
llama__Chart-11__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-11_C1/org/jfree/util/ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_11f/source/org/jfree/chart/util/ShapeUtilities.java
llama__Chart-11__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-11_C2/org/jfree/util/ShapeUtilitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_11f/source/org/jfree/chart/util/ShapeUtilities.java
llama__Chart-15__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-15_C1/org/jfree/chart/plot/PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_15f/source/org/jfree/chart/plot/PiePlot.java
llama__Chart-15__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-15_C2/org/jfree/chart/plot/PiePlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_15f/source/org/jfree/chart/plot/PiePlot.java
llama__Chart-17__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-17_C1/org/jfree/data/time/TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_17f/source/org/jfree/data/time/TimeSeries.java
llama__Chart-17__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-17_C2/org/jfree/data/time/TimeSeriesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_17f/source/org/jfree/data/time/TimeSeries.java
llama__Chart-19__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-19_C1/org/jfree/chart/plot/CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_19f/source/org/jfree/chart/plot/CategoryPlot.java
llama__Chart-19__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-19_C2/org/jfree/chart/plot/CategoryPlotTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_19f/source/org/jfree/chart/plot/CategoryPlot.java
llama__Chart-1__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-1_C1/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_1f/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java
llama__Chart-1__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-1_C2/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_1f/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java
llama__Chart-21__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-21_C1/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_21f/source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
llama__Chart-21__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-21_C2/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_21f/source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
llama__Chart-22__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-22_C1/org/jfree/data/KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_22f/source/org/jfree/data/KeyedObjects2D.java
llama__Chart-22__C2,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-22_C2/org/jfree/data/KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_22f/source/org/jfree/data/KeyedObjects2D.java
llama__Chart-23__C1,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-23_C1/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_23f/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java
